Country,Date,Year,Month,Original_Value,Imputed_Value,Imputation_Method,In_Final_Test_Period
Singapore,1981-10-01,1981,10,,0.03189196004789252,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1981-11-01,1981,11,,-0.14635332416488603,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1981-12-01,1981,12,,-0.2308547922361292,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-01-01,1982,1,,-0.06317219153225603,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-02-01,1982,2,,0.1269561116280411,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-03-01,1982,3,,0.2299422758398687,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-04-01,1982,4,,-0.13050929890152793,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-05-01,1982,5,,-0.0011164259174368252,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-06-01,1982,6,,0.1626051684705968,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-07-01,1982,7,,0.11375275724190936,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-08-01,1982,8,,-0.016960451180794922,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-09-01,1982,9,,0.27615401619132984,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-10-01,1982,10,,-0.07769588135700095,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-11-01,1982,11,,0.4979703698783431,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1982-12-01,1982,12,,0.573229489879294,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1983-01-01,1983,1,,0.8254135586544104,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1983-02-01,1983,2,,1.184544797957194,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1983-03-01,1983,3,,1.5291523474352324,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1983-04-01,1983,4,,1.331102031643256,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1983-05-01,1983,5,,0.6168005593535287,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1983-06-01,1983,6,,0.5521041228614834,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1983-07-01,1983,7,,0.3712181677714783,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1983-08-01,1983,8,,0.3672571614556388,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1983-09-01,1983,9,,-0.07505521047977462,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1983-10-01,1983,10,,0.2088169088220579,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1984-01-01,1984,1,,-0.29951223504401425,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1984-02-01,1984,2,,-0.5160472469765749,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1984-04-01,1984,4,,-0.22161244416583697,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1984-05-01,1984,5,,-0.5979080441705917,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1984-06-01,1984,6,,-0.09750091293619857,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1984-07-01,1984,7,,-0.5450946266260647,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1984-08-01,1984,8,,0.2880370351388483,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1984-09-01,1984,9,,-0.5213285887310276,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1984-10-01,1984,10,,-0.14107198241043334,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1984-11-01,1984,11,,-0.051289172584737475,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1984-12-01,1984,12,,-0.07769588135700095,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1985-01-01,1985,1,,0.0688613523290614,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1985-02-01,1985,2,,0.8214525523385708,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1985-03-01,1985,3,,0.045095314434024286,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1985-04-01,1985,4,,-0.08429755855006683,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1985-06-01,1985,6,,0.3672571614556388,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1986-03-01,1986,3,,-0.2427378111836478,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1987-01-01,1987,1,,-0.030163805566926688,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
